"Period","Group","Sender","datetime","Time","ClientTime","Key","action","action_owntype","action_partnertype","exit","repeataction_owntype","repeataction_partnertype"
1,1,"10","2016-04-08 12:05:39.875",1460142339875047936,1460142307022,"exit",NA,NA,NA,"10",NA,NA
1,1,"10","2016-04-08 12:05:39.875",1460142339875276544,1460142307022,"action","1",NA,NA,NA,NA,NA
1,1,"10","2016-04-08 12:05:39.876",1460142339875523328,1460142307022,"repeataction_owntype",NA,NA,NA,NA,"1",NA
1,1,"10","2016-04-08 12:05:39.876",1460142339875721472,1460142307023,"repeataction_partnertype",NA,NA,NA,NA,NA,"2"
1,1,"4","2016-04-08 12:05:40.434",1460142340434104576,1460142307581,"exit",NA,NA,NA,"4",NA,NA
1,1,"4","2016-04-08 12:05:40.434",1460142340434323456,1460142307581,"action","1",NA,NA,NA,NA,NA
1,1,"4","2016-04-08 12:05:40.435",1460142340434559488,1460142307581,"repeataction_owntype",NA,NA,NA,NA,"1",NA
1,1,"4","2016-04-08 12:05:40.435",1460142340434754304,1460142307581,"repeataction_partnertype",NA,NA,NA,NA,NA,"2"
1,1,"12","2016-04-08 12:05:44.806",1460142344806422528,1460142311952,"action","1",NA,NA,NA,NA,NA
1,1,"12","2016-04-08 12:05:44.807",1460142344806708480,1460142311952,"action_owntype",NA,"1",NA,NA,NA,NA
1,1,"12","2016-04-08 12:05:44.807",1460142344806952192,1460142311952,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"1","2016-04-08 12:05:45.742",1460142345741646592,1460142312886,"action","1",NA,NA,NA,NA,NA
1,1,"1","2016-04-08 12:05:45.742",1460142345741925376,1460142312886,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"1","2016-04-08 12:05:45.742",1460142345742174464,1460142312886,"action_partnertype",NA,NA,"3",NA,NA,NA
1,1,"11","2016-04-08 12:05:46.411",1460142346411463680,1460142313553,"action","1",NA,NA,NA,NA,NA
1,1,"11","2016-04-08 12:05:46.412",1460142346411805440,1460142313553,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"11","2016-04-08 12:05:46.412",1460142346412025856,1460142313553,"action_partnertype",NA,NA,"3",NA,NA,NA
1,1,"8","2016-04-08 12:05:47.017",1460142347017334528,1460142314163,"action","1",NA,NA,NA,NA,NA
1,1,"8","2016-04-08 12:05:47.018",1460142347017538304,1460142314163,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"8","2016-04-08 12:05:47.018",1460142347017755392,1460142314163,"action_partnertype",NA,NA,"3",NA,NA,NA
1,1,"5","2016-04-08 12:05:47.508",1460142347508175360,1460142314655,"action","1",NA,NA,NA,NA,NA
1,1,"5","2016-04-08 12:05:47.508",1460142347508393984,1460142314655,"action_owntype",NA,"1",NA,NA,NA,NA
1,1,"5","2016-04-08 12:05:47.512",1460142347511935744,1460142314655,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"2","2016-04-08 12:05:48.139",1460142348139220224,1460142315284,"action","1",NA,NA,NA,NA,NA
1,1,"2","2016-04-08 12:05:48.139",1460142348139443968,1460142315284,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"2","2016-04-08 12:05:48.140",1460142348139667200,1460142315284,"action_partnertype",NA,NA,"3",NA,NA,NA
1,1,"7","2016-04-08 12:05:48.409",1460142348408718592,1460142315547,"exit",NA,NA,NA,"7",NA,NA
1,1,"9","2016-04-08 12:05:48.413",1460142348412978432,1460142315548,"exit",NA,NA,NA,"9",NA,NA
1,1,"2","2016-04-08 12:05:48.413",1460142348413176832,1460142315549,"exit",NA,NA,NA,"2",NA,NA
1,1,"6","2016-04-08 12:05:48.413",1460142348413372160,1460142315549,"exit",NA,NA,NA,"6",NA,NA
1,1,"8","2016-04-08 12:05:48.414",1460142348413561344,1460142315553,"exit",NA,NA,NA,"8",NA,NA
1,1,"12","2016-04-08 12:05:48.420",1460142348419960576,1460142315565,"exit",NA,NA,NA,"12",NA,NA
1,1,"1","2016-04-08 12:05:48.421",1460142348420748288,1460142315561,"exit",NA,NA,NA,"1",NA,NA
