"Period","Group","datetime","Key","action","id","rank","payoff","Time","ClientTime","Sender"
3,1,"2016-04-06 11:34:30.086","state",6.91,1,2,921.333333333333,1459967670086180096,1459967650323,"2"
3,1,"2016-04-06 11:34:31.067","state",6.91,1,1,460.666666666667,1459967671067263232,1459967651307,"2"
3,1,"2016-04-06 11:34:31.067","state",6.05,0,2,806.666666666667,1459967671067263232,1459967651307,"2"
3,1,"2016-04-06 11:34:32.046","state",6.91,1,1,460.666666666667,1459967672046080768,1459967652291,"2"
3,1,"2016-04-06 11:34:32.046","state",6.05,0,2,806.666666666667,1459967672046080768,1459967652291,"2"
3,1,"2016-04-06 11:34:33.052","state",6.91,1,1,460.666666666667,1459967673052015360,1459967653293,"2"
3,1,"2016-04-06 11:34:33.052","state",6.05,0,2,806.666666666667,1459967673052015360,1459967653293,"2"
3,1,"2016-04-06 11:34:34.103","state",8.25,1,1,550,1459967674103010304,1459967654344,"2"
3,1,"2016-04-06 11:34:34.103","state",6.05,0,2,806.666666666667,1459967674103010304,1459967654344,"2"
3,1,"2016-04-06 11:34:35.009","state",8.25,1,1,550,1459967675008903424,1459967655245,"2"
3,1,"2016-04-06 11:34:35.009","state",6.05,0,2,806.666666666667,1459967675008903424,1459967655245,"2"
3,1,"2016-04-06 11:34:36.021","state",8.25,1,1,550,1459967676021065216,1459967656262,"2"
3,1,"2016-04-06 11:34:36.021","state",6.05,0,2,806.666666666667,1459967676021065216,1459967656262,"2"
3,1,"2016-04-06 11:34:37.056","state",7.35,1,1,490,1459967677055845120,1459967657296,"2"
3,1,"2016-04-06 11:34:37.056","state",6.05,0,2,806.666666666667,1459967677055845120,1459967657296,"2"
3,1,"2016-04-06 11:34:38.106","state",6.05,0,1,403.333333333333,1459967678105731072,1459967658346,"2"
3,1,"2016-04-06 11:34:38.106","state",5.96,1,2,794.666666666667,1459967678105731072,1459967658346,"2"
3,1,"2016-04-06 11:34:39.040","state",6.05,0,1,403.333333333333,1459967679040384768,1459967659281,"2"
3,1,"2016-04-06 11:34:39.040","state",5.96,1,2,794.666666666667,1459967679040384768,1459967659281,"2"
3,1,"2016-04-06 11:34:40.097","state",6.05,0,1,403.333333333333,1459967680097025536,1459967660332,"2"
3,1,"2016-04-06 11:34:40.097","state",5.96,1,2,794.666666666667,1459967680097025536,1459967660332,"2"
3,1,"2016-04-06 11:34:41.058","state",6.05,0,1,403.333333333333,1459967681058324224,1459967661299,"2"
3,1,"2016-04-06 11:34:41.058","state",5.96,1,2,794.666666666667,1459967681058324224,1459967661299,"2"
3,1,"2016-04-06 11:34:42.044","state",6.05,0,1,403.333333333333,1459967682043660800,1459967662284,"2"
3,1,"2016-04-06 11:34:42.044","state",5.96,1,2,794.666666666667,1459967682043660800,1459967662284,"2"
3,1,"2016-04-06 11:34:43.060","state",6.05,0,1,403.333333333333,1459967683060013568,1459967663300,"2"
3,1,"2016-04-06 11:34:43.060","state",5.96,1,2,794.666666666667,1459967683060013568,1459967663300,"2"
3,1,"2016-04-06 11:34:44.095","state",5.96,1,1,397.333333333333,1459967684095105024,1459967664336,"2"
3,1,"2016-04-06 11:34:44.095","state",5.83,0,2,777.333333333333,1459967684095105024,1459967664336,"2"
3,1,"2016-04-06 11:34:45.029","state",5.96,1,1,397.333333333333,1459967685029390848,1459967665270,"2"
3,1,"2016-04-06 11:34:45.029","state",5.83,0,2,777.333333333333,1459967685029390848,1459967665270,"2"
3,1,"2016-04-06 11:34:46.079","state",5.96,1,1,397.333333333333,1459967686078672128,1459967666320,"2"
3,1,"2016-04-06 11:34:46.079","state",5.83,0,2,777.333333333333,1459967686078672128,1459967666320,"2"
3,1,"2016-04-06 11:34:47.016","state",5.96,1,1,397.333333333333,1459967687015922944,1459967667254,"2"
3,1,"2016-04-06 11:34:47.016","state",5.83,0,2,777.333333333333,1459967687015922944,1459967667254,"2"
3,1,"2016-04-06 11:34:48.064","state",5.96,1,1,397.333333333333,1459967688064499712,1459967668304,"2"
3,1,"2016-04-06 11:34:48.064","state",5.83,0,2,777.333333333333,1459967688064499712,1459967668304,"2"
3,1,"2016-04-06 11:34:49.115","state",5.96,1,1,397.333333333333,1459967689115048704,1459967669355,"2"
3,1,"2016-04-06 11:34:49.115","state",5.83,0,2,777.333333333333,1459967689115048704,1459967669355,"2"
3,1,"2016-04-06 11:34:50.050","state",5.96,1,1,397.333333333333,1459967690050223104,1459967670290,"2"
3,1,"2016-04-06 11:34:50.050","state",5.83,0,2,777.333333333333,1459967690050223104,1459967670290,"2"
4,1,"2016-04-06 11:35:03.639","state",0,0,1.5,0,1459967703639333632,1459967683883,"2"
4,1,"2016-04-06 11:35:03.639","state",0,1,1.5,0,1459967703639333632,1459967683883,"2"
4,1,"2016-04-06 11:35:04.062","state",0,0,1.5,0,1459967704061676288,1459967684301,"2"
4,1,"2016-04-06 11:35:04.062","state",0,1,1.5,0,1459967704061676288,1459967684301,"2"
4,1,"2016-04-06 11:35:05.095","state",0,0,1.5,0,1459967705095483648,1459967685336,"2"
4,1,"2016-04-06 11:35:05.095","state",0,1,1.5,0,1459967705095483648,1459967685336,"2"
4,1,"2016-04-06 11:35:06.105","state",1.8,1,1,120,1459967706104581888,1459967686336,"2"
4,1,"2016-04-06 11:35:06.105","state",0,0,2,0,1459967706104581888,1459967686336,"2"
4,1,"2016-04-06 11:35:07.063","state",4.5,1,1,300,1459967707063218432,1459967687308,"2"
4,1,"2016-04-06 11:35:07.063","state",0,0,2,0,1459967707063218432,1459967687308,"2"
4,1,"2016-04-06 11:35:08.080","state",5.77,1,1,384.666666666667,1459967708081136128,1459967688321,"2"
4,1,"2016-04-06 11:35:08.080","state",0.9,0,2,120,1459967708081136128,1459967688321,"2"
4,1,"2016-04-06 11:35:09.017","state",5.77,1,1,384.666666666667,1459967709017209600,1459967689255,"2"
4,1,"2016-04-06 11:35:09.017","state",3.3,0,2,440,1459967709017209600,1459967689255,"2"
4,1,"2016-04-06 11:35:10.065","state",6,0,1,400,1459967710065383936,1459967690305,"2"
4,1,"2016-04-06 11:35:10.065","state",5.77,1,2,769.333333333333,1459967710065383936,1459967690305,"2"
4,1,"2016-04-06 11:35:11.001","state",6.93,0,1,462,1459967711000754944,1459967691240,"2"
4,1,"2016-04-06 11:35:11.001","state",5.77,1,2,769.333333333333,1459967711000754944,1459967691240,"2"
4,1,"2016-04-06 11:35:12.017","state",6.93,0,1,462,1459967712016836608,1459967692256,"2"
4,1,"2016-04-06 11:35:12.017","state",5.77,1,2,769.333333333333,1459967712016836608,1459967692256,"2"
4,1,"2016-04-06 11:35:13.035","state",5.77,1,1,384.666666666667,1459967713034865664,1459967693274,"2"
4,1,"2016-04-06 11:35:13.035","state",5.73,0,2,764,1459967713034865664,1459967693274,"2"
4,1,"2016-04-06 11:35:14.074","state",5.77,1,1,384.666666666667,1.459967714074e+18,1459967694310,"2"
4,1,"2016-04-06 11:35:14.074","state",5.73,0,2,764,1.459967714074e+18,1459967694310,"2"
4,1,"2016-04-06 11:35:15.104","state",5.77,1,1,384.666666666667,1459967715104208128,1459967695344,"2"
4,1,"2016-04-06 11:35:15.104","state",5.48,0,2,730.666666666667,1459967715104208128,1459967695344,"2"
4,1,"2016-04-06 11:35:16.053","state",5.77,1,1,384.666666666667,1459967716053395200,1459967696298,"2"
4,1,"2016-04-06 11:35:16.053","state",4.92,0,2,656,1459967716053395200,1459967696298,"2"
4,1,"2016-04-06 11:35:17.024","state",5.88,0,1,392,1459967717024082688,1459967697264,"2"
4,1,"2016-04-06 11:35:17.024","state",5.77,1,2,769.333333333333,1459967717024082688,1459967697264,"2"
4,1,"2016-04-06 11:35:18.023","state",5.77,1,1,384.666666666667,1459967718023291136,1459967698262,"2"
4,1,"2016-04-06 11:35:18.023","state",5.58,0,2,744,1459967718023291136,1459967698262,"2"
4,1,"2016-04-06 11:35:19.057","state",5.77,1,1,384.666666666667,1459967719056965376,1459967699296,"2"
4,1,"2016-04-06 11:35:19.057","state",5.58,0,2,744,1459967719056965376,1459967699296,"2"
4,1,"2016-04-06 11:35:20.108","state",5.77,1,1,384.666666666667,1459967720108270848,1459967700347,"2"
4,1,"2016-04-06 11:35:20.108","state",5.58,0,2,744,1459967720108270848,1459967700347,"2"
4,1,"2016-04-06 11:35:21.024","state",5.77,1,1,384.666666666667,1459967721024442880,1459967701264,"2"
4,1,"2016-04-06 11:35:21.024","state",5.58,0,2,744,1459967721024442880,1459967701264,"2"
4,1,"2016-04-06 11:35:22.060","state",5.77,1,1,384.666666666667,1459967722059779840,1459967702299,"2"
4,1,"2016-04-06 11:35:22.060","state",5.58,0,2,744,1459967722059779840,1459967702299,"2"
4,1,"2016-04-06 11:35:23.111","state",5.77,1,1,384.666666666667,1459967723111482624,1459967703351,"2"
4,1,"2016-04-06 11:35:23.111","state",5.58,0,2,744,1459967723111482624,1459967703351,"2"
4,1,"2016-04-06 11:35:24.043","state",5.77,1,1,384.666666666667,1459967724042659584,1459967704282,"2"
4,1,"2016-04-06 11:35:24.043","state",5.58,0,2,744,1459967724042659584,1459967704282,"2"
4,1,"2016-04-06 11:35:25.096","state",5.77,1,1,384.666666666667,1459967725096433664,1459967705336,"2"
4,1,"2016-04-06 11:35:25.096","state",5.58,0,2,744,1459967725096433664,1459967705336,"2"
4,1,"2016-04-06 11:35:26.014","state",5.77,1,1,384.666666666667,1459967726013881856,1459967706253,"2"
4,1,"2016-04-06 11:35:26.014","state",5.58,0,2,744,1459967726013881856,1459967706253,"2"
4,1,"2016-04-06 11:35:27.064","state",5.77,1,1,384.666666666667,1459967727063934464,1459967707303,"2"
4,1,"2016-04-06 11:35:27.064","state",5.58,0,2,744,1459967727063934464,1459967707303,"2"
4,1,"2016-04-06 11:35:28.081","state",5.77,1,1,384.666666666667,1459967728080680448,1459967708306,"2"
4,1,"2016-04-06 11:35:28.081","state",5.58,0,2,744,1459967728080680448,1459967708306,"2"
4,1,"2016-04-06 11:35:29.115","state",6.48,0,1,432,1459967729114980352,1459967709340,"2"
4,1,"2016-04-06 11:35:29.115","state",5.77,1,2,769.333333333333,1459967729114980352,1459967709340,"2"
4,1,"2016-04-06 11:35:30.101","state",7.19,0,1,479.333333333333,1459967730100931584,1459967710331,"2"
4,1,"2016-04-06 11:35:30.101","state",5.77,1,2,769.333333333333,1459967730100931584,1459967710331,"2"
4,1,"2016-04-06 11:35:31.052","state",7.19,0,1,479.333333333333,1459967731051919360,1459967711277,"2"
4,1,"2016-04-06 11:35:31.052","state",5.77,1,2,769.333333333333,1459967731051919360,1459967711277,"2"
4,1,"2016-04-06 11:35:32.049","state",7.19,0,1,479.333333333333,1459967732049961984,1459967712280,"2"
4,1,"2016-04-06 11:35:32.049","state",6.22,1,2,829.333333333333,1459967732049961984,1459967712280,"2"
4,1,"2016-04-06 11:35:33.035","state",7.19,0,1,479.333333333333,1459967733035087104,1459967713260,"2"
4,1,"2016-04-06 11:35:33.035","state",7.13,1,2,950.666666666667,1459967733035087104,1459967713260,"2"
4,1,"2016-04-06 11:35:34.053","state",7.19,0,1,479.333333333333,1459967734052963072,1459967714278,"2"
4,1,"2016-04-06 11:35:34.053","state",7.11,1,2,948,1459967734052963072,1459967714278,"2"
4,1,"2016-04-06 11:35:35.069","state",7.22,1,1,481.333333333333,1459967735069362432,1459967715294,"2"
4,1,"2016-04-06 11:35:35.069","state",7.19,0,2,958.666666666667,1459967735069362432,1459967715294,"2"
4,1,"2016-04-06 11:35:36.069","state",7.2,1,1,480,1459967736068751104,1459967716299,"2"
4,1,"2016-04-06 11:35:36.069","state",7.19,0,2,958.666666666667,1459967736068751104,1459967716299,"2"
4,1,"2016-04-06 11:35:37.105","state",7.19,0,1,479.333333333333,1459967737104927488,1459967717330,"2"
