"Period","Group","Sender","datetime","Time","ClientTime","Key","actions.1","actions.2","action","id","rank","payoff","targets.1","targets.2"
3,1,"2","2016-04-06 11:34:16.604",1459967656604272640,1459967636848,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.604",1459967656604485888,1459967636848,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:16.605",1459967656604653568,1459967636848,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:16.711",1459967656710658560,1459967636954,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.711",1459967656710658560,1459967636954,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.711",1459967656710898688,1459967636955,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:16.711",1459967656711043584,1459967636955,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:16.816",1459967656815667200,1459967637059,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.816",1459967656815667200,1459967637059,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.816",1459967656815885568,1459967637060,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:16.816",1459967656816050688,1459967637060,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:16.921",1459967656920860928,1459967637165,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.921",1459967656920860928,1459967637165,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:16.921",1459967656921054720,1459967637165,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:16.921",1459967656921216256,1459967637165,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.032",1459967657031957760,1459967637263,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.032",1459967657031957760,1459967637263,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.032",1459967657032148224,1459967637263,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.032",1459967657032316160,1459967637263,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.139",1459967657139362816,1459967637378,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.139",1459967657139362816,1459967637378,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.140",1459967657139579904,1459967637378,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.140",1459967657139756800,1459967637378,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.257",1459967657256747008,1459967637496,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.257",1459967657256747008,1459967637496,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.257",1459967657256931840,1459967637496,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.257",1459967657257093888,1459967637496,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.372",1459967657371841024,1459967637611,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.372",1459967657371841024,1459967637611,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.372",1459967657372025600,1459967637611,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.372",1459967657372186624,1459967637611,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.488",1459967657488364288,1459967637730,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.488",1459967657488364288,1459967637730,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.489",1459967657488554752,1459967637730,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.489",1459967657488711936,1459967637730,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.607",1459967657606675968,1459967637845,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.607",1459967657606675968,1459967637845,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.607",1459967657606870272,1459967637845,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.607",1459967657607034624,1459967637845,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.722",1459967657721929216,1459967637961,"state",NA,NA,0,0,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.722",1459967657721929216,1459967637961,"state",NA,NA,0,1,1.5,0,NA,NA
3,1,"2","2016-04-06 11:34:17.722",1459967657722129664,1459967637961,"actions",0,0,NA,NA,NA,NA,NA,NA
3,1,"2","2016-04-06 11:34:17.722",1459967657722290688,1459967637961,"targets",NA,NA,NA,NA,NA,NA,0,0
3,1,"2","2016-04-06 11:34:17.839",1459967657839426816,1459967638078,"state",NA,NA,0,0,1.5,0,NA,NA
