"","Period","Sender","group_id","rp.confirm.round","datetime","Time","rp.confirm.y","rp.confirm.x","rp.round_started.price","rp.round_started.endowment.y","rp.round_started.endowment.x"
"76",56,11,1,8,"2016-04-15 16:03:33.436",1460761413436083712,0,100,0.43,0,100
"77",56,13,1,8,"2016-04-15 16:03:37.696",1460761417695900416,0.414545454545461,175.780126849894,0.43,76,0
"78",56,15,1,8,"2016-04-15 16:02:36.224",1460761356223869440,53.3381818181818,52.7019027484144,0.43,76,0
"79",56,17,1,8,"2016-04-15 16:02:45.018",1460761365017543680,48.5709090909091,63.7885835095137,0.43,76,0
"80",56,19,1,8,"2016-04-15 16:03:43.778",1460761423778290944,32.1963636363636,43.8036363636364,1,76,0
"81",56,1,1,9,"2016-04-15 16:04:20.138",1460761460138351872,26.64,26,0.36,0,100
"82",56,3,1,9,"2016-04-15 16:05:11.108",1460761511108445440,47.4706545454546,55.2163636363636,1.06,0,100
"83",56,5,1,9,"2016-04-15 16:05:22.811",1460761522811090688,35.9282181818182,66.1054545454545,1.06,0,100
"84",56,7,1,9,"2016-04-15 16:05:30.532",1460761530532388608,34.2938909090909,67.6472727272727,1.06,0,100
"85",56,9,1,9,"2016-04-15 16:05:40.340",1460761540339547904,27.348,74.2,1.06,0,100
"86",56,11,1,9,"2016-04-15 16:05:47.139",1460761547138672896,3.79636363636364,89.4545454545455,0.36,0,100
"87",56,13,1,9,"2016-04-15 16:05:49.601",1460761549600677120,0.276363636363641,210.343434343434,0.36,76,0
"88",56,15,1,9,"2016-04-15 16:04:38.854",1460761478854487040,55.9636363636364,55.6565656565657,0.36,76,0
"89",56,17,1,9,"2016-04-15 16:04:50.568",1460761490567601920,51.8872727272727,66.979797979798,0.36,76,0
"90",56,19,1,9,"2016-04-15 16:05:54.787",1460761554786678016,32.3511272727273,41.1781818181818,1.06,76,0
"91",56,2,2,1,"2016-04-15 15:49:29.524",1460760569523649536,36.0820363636364,25.4254545454545,1.57,76,0
"92",56,4,2,1,"2016-04-15 15:49:37.827",1460760577826793216,38.7938545454545,23.6981818181818,1.57,76,0
"93",56,6,2,1,"2016-04-15 15:49:46.696",1460760586695860736,46.0615272727273,19.0690909090909,1.57,76,0
"94",56,8,2,1,"2016-04-15 15:49:55.196",1460760595195920384,45.0852727272727,19.6909090909091,1.57,76,0
"95",56,10,2,1,"2016-04-15 15:50:01.820",1460760601820107264,51.0512727272727,15.8909090909091,1.57,76,0
"96",56,12,2,1,"2016-04-15 15:49:03.890",1460760543890013696,27.5126909090909,30.8836363636364,1.57,76,0
"97",56,14,2,1,"2016-04-15 15:49:07.168",1460760547167917824,59.7484909090909,61.9436363636364,1.57,0,100
"98",56,16,2,1,"2016-04-15 15:49:14.159",1460760554159458048,60.6448181818182,61.3727272727273,1.57,0,100
"99",56,18,2,1,"2016-04-15 15:49:20.667",1460760560666811136,65.5746181818182,58.2327272727273,1.57,0,100
"100",56,20,2,1,"2016-04-15 15:49:25.930",1460760565929502720,78.5713636363636,49.9545454545455,1.57,0,100
"101",56,2,2,2,"2016-04-15 15:51:09.083",1460760669083350784,76,0,1.31,76,0
"102",56,4,2,2,"2016-04-15 15:51:16.602",1460760676602431232,45.5309090909091,30.4690909090909,1,76,0
"103",56,6,2,2,"2016-04-15 15:51:24.216",1460760684216358656,50.4363636363636,25.5636363636364,1,76,0
"104",56,8,2,2,"2016-04-15 15:51:36.348",1460760696347793152,51.3345454545455,24.6654545454545,1,76,0
"105",56,10,2,2,"2016-04-15 15:51:43.756",1460760703756373248,61.6290909090909,14.3709090909091,1,76,0
"106",56,12,2,2,"2016-04-15 15:50:41.474",1460760641473710592,33.7322545454545,32.2654545454545,1.31,76,0
"107",56,14,2,2,"2016-04-15 15:50:44.456",1460760644455909120,57.0516909090909,56.4490909090909,1.31,0,100
"108",56,16,2,2,"2016-04-15 15:50:52.911",1460760652911204608,56.4276545454545,56.9254545454545,1.31,0,100
"109",56,18,2,2,"2016-04-15 15:51:00.619",1460760660618605056,67.3482909090909,48.5890909090909,1.31,0,100
"110",56,20,2,2,"2016-04-15 15:51:05.554",1460760665553504256,57.0909090909091,42.9090909090909,1,0,100
"111",56,2,2,3,"2016-04-15 15:52:39.690",1460760759689924864,48.9163636363636,27.0836363636364,1,76,0
"112",56,4,2,3,"2016-04-15 15:52:57.633",1460760777633458688,27.9818181818182,75.0284090909091,0.64,76,0
"113",56,6,2,3,"2016-04-15 15:53:06.751",1460760786750808320,29.5709090909091,72.5454545454545,0.64,76,0
"114",56,8,2,3,"2016-04-15 15:53:16.212",1460760796211617792,26.7381818181818,76.9715909090909,0.64,76,0
"115",56,10,2,3,"2016-04-15 15:53:23.331",1460760803331112448,16.4436363636364,93.0568181818182,0.64,76,0
"116",56,12,2,3,"2016-04-15 15:52:14.497",1460760734497347328,36.9636363636364,39.0363636363636,1,76,0
"117",56,14,2,3,"2016-04-15 15:52:17.720",1460760737720113408,47.8181818181818,52.1818181818182,1,0,100
"118",56,16,2,3,"2016-04-15 15:52:25.783",1460760745783054336,49.6363636363636,50.3636363636364,1,0,100
"119",56,18,2,3,"2016-04-15 15:52:32.019",1460760752019269888,52.9090909090909,47.0909090909091,1,0,100
"120",56,20,2,3,"2016-04-15 15:52:36.329",1460760756329420800,35.2581818181818,44.9090909090909,0.64,0,100
"121",56,2,2,4,"2016-04-15 15:55:07.996",1460760907995631616,76,0,0.83,76,0
"122",56,4,2,4,"2016-04-15 15:55:19.680",1460760919680010496,29.7781818181818,66.0311688311688,0.7,76,0
"123",56,6,2,4,"2016-04-15 15:55:27.686",1460760927686346240,22.3854545454545,76.5922077922078,0.7,76,0
"124",56,8,2,4,"2016-04-15 15:55:36.203",1460760936203124992,21.4872727272727,77.8753246753247,0.7,76,0
"125",56,10,2,4,"2016-04-15 15:55:42.675",1460760942675160576,12.5745454545454,90.6077922077922,0.7,76,0
"126",56,12,2,4,"2016-04-15 15:54:11.808",1460760851808373504,41.9381818181818,41.0383351588171,0.83,76,0
"127",56,14,2,4,"2016-04-15 15:54:19.736",1460760859736026624,45.8763636363636,44.7272727272727,0.83,0,100
"128",56,16,2,4,"2016-04-15 15:54:35.973",1460760875972816384,45.4236363636364,45.2727272727273,0.83,0,100
"129",56,18,2,4,"2016-04-15 15:54:58.243",1460760898243305216,43.0090909090909,48.1818181818182,0.83,0,100
"130",56,20,2,4,"2016-04-15 15:55:05.944",1460760905943941888,33.4727272727273,52.1818181818182,0.7,0,100
"131",56,2,2,5,"2016-04-15 15:57:04.114",1460761024113688832,38,59.375,0.64,76,0
"132",56,4,2,5,"2016-04-15 15:57:16.295",1460761036295311872,31.7127272727273,53.3581599123768,0.83,76,0
"133",56,6,2,5,"2016-04-15 15:57:24.927",1460761044926681856,24.1818181818182,62.4315443592552,0.83,76,0
"134",56,8,2,5,"2016-04-15 15:57:33.562",1460761053562250496,23.0072727272727,63.8466593647317,0.83,76,0
"135",56,10,2,5,"2016-04-15 15:57:39.940",1460761059939612672,16.9963636363636,71.0887185104053,0.83,76,0
"136",56,12,2,5,"2016-04-15 15:56:19.120",1460760979120109824,46.2218181818182,46.5284090909091,0.64,76,0
"137",56,14,2,5,"2016-04-15 15:56:25.546",1460760985546233088,38.6327272727273,39.6363636363636,0.64,0,100
"138",56,16,2,5,"2016-04-15 15:56:41.582",1460761001582392576,38.8654545454545,39.2727272727273,0.64,0,100
"139",56,18,2,5,"2016-04-15 15:56:53.530",1460761013530120704,34.9090909090909,45.4545454545455,0.64,0,100
"140",56,20,2,5,"2016-04-15 15:57:00.408",1460761020407866624,41.0472727272727,50.5454545454545,0.83,0,100
"141",56,2,2,6,"2016-04-15 15:58:57.145",1460761137145331200,37.1709090909091,68.1212121212121,0.57,76,0
"142",56,4,2,6,"2016-04-15 15:59:05.608",1460761145607807488,30.8836363636364,50.6925434116445,0.89,76,0
